date,drug_id,drug_name,region,units_sold,moving_avg_sales_7d,price_per_unit,manufacturer,dosage_form,disease_name,region_disease_cases,google_trend_score,season,stock_available,lead_time_days,supplier_id,pending_orders,warehouse_id,auto_reorder_level,temperature,humidity,pollution_index,event_flag
2025-03-10,102,Amoxicillin,South,155,150,14.49,PharmaB,Capsule,Infection,67,72,Winter,268,7,4,45,1,100,30.1,75,155,0
2025-03-11,101,Paracetamol,North,227,196.857142857143,7.71,PharmaA,Tablet,Flu,133,86,Winter,437,5,4,82,2,100,21.4,58,51,1
2025-03-11,102,Amoxicillin,South,147,151.285714285714,6.93,PharmaB,Capsule,Infection,32,49,Winter,322,5,5,66,1,100,18.7,79,154,0
2025-03-12,101,Paracetamol,South,200,199.142857142857,15.17,PharmaA,Tablet,Flu,185,43,Summer,306,6,3,97,1,100,17.5,69,183,1
2025-03-12,102,Amoxicillin,South,148,149.571428571429,16.93,PharmaB,Capsule,Infection,27,35,Summer,417,4,3,61,2,100,20.6,85,186,1
2025-03-13,101,Paracetamol,North,218,202.571428571429,19.77,PharmaA,Tablet,Flu,37,81,Summer,98,2,3,43,2,100,33.4,81,100,1
2025-03-13,102,Amoxicillin,North,139,147.571428571429,16.72,PharmaB,Capsule,Infection,114,64,Summer,316,5,2,28,1,100,30.1,68,155,1
2025-03-14,101,Paracetamol,North,196,202.714285714286,6.01,PharmaA,Tablet,Flu,54,50,Summer,398,4,3,61,1,100,19.5,85,140,0
2025-03-14,102,Amoxicillin,North,127,144.714285714286,9.89,PharmaB,Capsule,Infection,195,54,Summer,328,5,1,60,2,100,23,48,117,0
2025-03-15,101,Paracetamol,North,182,202,6.28,PharmaA,Tablet,Flu,187,86,Winter,446,5,3,8,1,100,34.7,42,199,0
2025-03-15,102,Amoxicillin,North,154,145.285714285714,7.68,PharmaB,Capsule,Infection,55,55,Summer,327,4,1,23,2,100,18.9,59,170,1
2025-03-16,101,Paracetamol,North,182,197.142857142857,7.52,PharmaA,Tablet,Flu,147,43,Summer,289,7,1,17,2,100,23.4,49,179,1
2025-03-16,102,Amoxicillin,North,146,145.142857142857,16.53,PharmaB,Capsule,Infection,164,33,Winter,488,4,2,2,2,100,17.6,30,162,1
2025-03-17,101,Paracetamol,South,179,197.714285714286,16.34,PharmaA,Tablet,Flu,135,57,Summer,247,3,4,4,1,100,27.6,84,109,1
2025-03-17,102,Amoxicillin,South,158,145.571428571429,6.18,PharmaB,Capsule,Infection,73,53,Winter,142,2,5,45,2,100,16.1,64,186,1
2025-03-18,101,Paracetamol,South,191,192.571428571429,10.04,PharmaA,Tablet,Flu,46,30,Winter,307,6,5,91,1,100,26,86,115,1
2025-03-18,102,Amoxicillin,North,141,144.714285714286,14.81,PharmaB,Capsule,Infection,32,78,Summer,319,3,4,79,2,100,33.8,84,190,0
2025-03-19,101,Paracetamol,South,191,191.285714285714,9.91,PharmaA,Tablet,Flu,181,77,Summer,373,2,5,58,2,100,15.8,74,119,0
2025-03-19,102,Amoxicillin,North,142,143.857142857143,19.03,PharmaB,Capsule,Infection,36,53,Summer,50,6,3,3,1,100,22.3,31,147,0
2025-03-20,101,Paracetamol,South,207,189.714285714286,11.4,PharmaA,Tablet,Flu,95,94,Winter,91,5,2,58,1,100,26.5,35,77,1
2025-03-20,102,Amoxicillin,North,122,141.428571428571,13.65,PharmaB,Capsule,Infection,47,98,Winter,464,7,1,0,2,100,27.4,59,193,0
2025-03-21,101,Paracetamol,North,214,192.285714285714,11.6,PharmaA,Tablet,Flu,128,71,Winter,202,4,1,53,2,100,18.1,86,186,1
2025-03-21,102,Amoxicillin,North,132,142.142857142857,13.49,PharmaB,Capsule,Infection,192,72,Winter,432,4,2,82,2,100,19.2,39,75,1
2025-03-22,101,Paracetamol,South,228,198.857142857143,19.33,PharmaA,Tablet,Flu,75,92,Summer,153,5,2,12,1,100,34.2,49,147,1
2025-03-22,102,Amoxicillin,North,147,141.142857142857,7.12,PharmaB,Capsule,Infection,149,72,Summer,111,7,3,51,2,100,20.3,55,94,1
2025-03-23,101,Paracetamol,South,197,201,11.64,PharmaA,Tablet,Flu,27,52,Summer,317,6,1,10,1,100,24.4,78,168,0
2025-03-23,102,Amoxicillin,South,168,144.285714285714,16.22,PharmaB,Capsule,Infection,180,55,Summer,230,2,4,94,2,100,24.8,52,176,1
2025-03-24,101,Paracetamol,South,213,205.857142857143,11.55,PharmaA,Tablet,Flu,131,48,Winter,175,3,3,5,1,100,23.6,87,82,1
2025-03-24,102,Amoxicillin,South,166,145.428571428571,16.71,PharmaB,Capsule,Infection,61,56,Winter,207,3,5,34,1,100,26.4,53,51,1
2025-03-25,101,Paracetamol,North,196,206.571428571429,19.96,PharmaA,Tablet,Flu,124,90,Summer,471,4,2,1,2,100,18.5,39,187,1
2025-03-25,102,Amoxicillin,North,151,146.857142857143,14.74,PharmaB,Capsule,Infection,63,59,Winter,124,5,4,13,2,100,27.2,61,55,1
2025-03-26,101,Paracetamol,North,189,206.285714285714,17.45,PharmaA,Tablet,Flu,30,36,Winter,148,6,1,16,1,100,29.4,81,109,1
2025-03-26,102,Amoxicillin,South,152,148.285714285714,13.55,PharmaB,Capsule,Infection,63,51,Summer,96,4,4,0,1,100,27.6,89,64,1
2025-03-27,101,Paracetamol,North,199,205.142857142857,12.01,PharmaA,Tablet,Flu,79,78,Summer,160,7,1,52,1,100,15,55,171,0
2025-03-27,102,Amoxicillin,North,148,152,19.63,PharmaB,Capsule,Infection,66,90,Winter,325,4,1,12,1,100,25.6,38,139,0
2025-03-28,101,Paracetamol,North,205,203.857142857143,18.76,PharmaA,Tablet,Flu,122,37,Winter,125,5,1,5,2,100,18.1,80,129,0
2025-03-28,102,Amoxicillin,North,158,155.714285714286,9.6,PharmaB,Capsule,Infection,40,41,Summer,343,3,2,66,1,100,15.1,38,150,1
2025-03-29,101,Paracetamol,South,218,202.428571428571,11.36,PharmaA,Tablet,Flu,49,88,Winter,401,5,3,5,2,100,21.8,63,67,0
2025-03-29,102,Amoxicillin,South,149,156,17.15,PharmaB,Capsule,Infection,184,57,Summer,99,6,2,4,2,100,33.1,72,79,0
2025-03-30,101,Paracetamol,North,224,206.285714285714,7.57,PharmaA,Tablet,Flu,193,66,Winter,212,2,5,34,2,100,22.6,58,113,0
2025-03-30,102,Amoxicillin,North,164,155.428571428571,14.33,PharmaB,Capsule,Infection,186,53,Winter,495,4,1,11,2,100,22.3,52,106,1
2025-03-31,101,Paracetamol,North,194,203.571428571429,7.21,PharmaA,Tablet,Flu,172,76,Summer,264,6,3,27,1,100,19.2,49,189,1
2025-03-31,102,Amoxicillin,North,165,155.285714285714,19.23,PharmaB,Capsule,Infection,133,77,Winter,439,6,2,31,1,100,34.9,80,122,0
2025-04-01,101,Paracetamol,South,201,204.285714285714,7.83,PharmaA,Tablet,Flu,127,62,Summer,276,7,4,31,1,100,26.8,88,60,1
2025-04-01,102,Amoxicillin,South,149,155,10.85,PharmaB,Capsule,Infection,25,51,Winter,250,6,2,35,1,100,31.8,30,152,0
2025-04-02,101,Paracetamol,North,176,202.428571428571,14.24,PharmaA,Tablet,Flu,35,55,Summer,50,4,5,0,1,100,25.6,54,102,0
2025-04-02,102,Amoxicillin,South,148,154.428571428571,14.1,PharmaB,Capsule,Infection,137,89,Winter,498,2,5,51,2,100,23.2,55,96,1
2025-04-03,101,Paracetamol,North,210,204,8.34,PharmaA,Tablet,Flu,63,72,Summer,363,7,4,30,2,100,19.7,31,64,0
2025-04-03,102,Amoxicillin,North,160,156.142857142857,18.78,PharmaB,Capsule,Infection,81,63,Winter,444,2,1,77,1,100,18.5,67,132,1
2025-04-04,101,Paracetamol,South,181,200.571428571429,7.26,PharmaA,Tablet,Flu,70,63,Summer,402,4,3,84,1,100,29.7,89,193,1
2025-04-04,102,Amoxicillin,South,154,155.571428571429,6.63,PharmaB,Capsule,Infection,40,65,Summer,66,3,2,1,2,100,30,53,108,0
2025-04-05,101,Paracetamol,South,193,197,19.92,PharmaA,Tablet,Flu,112,53,Summer,110,2,1,30,2,100,15.3,68,167,0
2025-04-05,102,Amoxicillin,South,142,154.571428571429,5.93,PharmaB,Capsule,Infection,122,88,Summer,262,2,3,24,1,100,23.1,66,104,0
2025-04-06,101,Paracetamol,North,192,192.428571428571,19.82,PharmaA,Tablet,Flu,175,44,Winter,428,4,3,50,2,100,32.8,47,89,0
2025-04-06,102,Amoxicillin,South,173,155.857142857143,7.41,PharmaB,Capsule,Infection,121,79,Winter,470,5,5,66,2,100,33.4,33,169,0
2025-04-07,101,Paracetamol,North,204,193.857142857143,18.71,PharmaA,Tablet,Flu,102,95,Summer,440,5,5,6,2,100,16.2,83,120,0
2025-04-07,102,Amoxicillin,North,122,149.714285714286,9.59,PharmaB,Capsule,Infection,188,32,Winter,136,3,1,54,1,100,29.2,58,136,0
2025-04-08,101,Paracetamol,North,208,194.857142857143,13.28,PharmaA,Tablet,Flu,79,88,Summer,97,2,1,66,1,100,27.2,70,91,0
2025-04-08,102,Amoxicillin,North,154,150.428571428571,17.62,PharmaB,Capsule,Infection,156,71,Winter,80,4,3,71,1,100,16.9,71,98,1
2025-04-09,101,Paracetamol,North,198,198,13.73,PharmaA,Tablet,Flu,75,67,Winter,307,3,4,2,1,100,28.1,85,99,0
2025-04-09,102,Amoxicillin,North,157,151.714285714286,12.51,PharmaB,Capsule,Infection,133,93,Summer,120,3,5,19,1,100,28.7,78,143,0
2025-04-10,101,Paracetamol,North,198,196.285714285714,6.58,PharmaA,Tablet,Flu,124,95,Summer,213,4,2,85,1,100,15.4,71,128,0
2025-04-10,102,Amoxicillin,South,137,148.428571428571,10.49,PharmaB,Capsule,Infection,196,89,Summer,454,7,4,57,1,100,21.8,78,57,1
2025-04-11,101,Paracetamol,South,176,195.571428571429,8.32,PharmaA,Tablet,Flu,61,62,Summer,102,3,2,44,1,100,16,75,159,1
2025-04-11,102,Amoxicillin,South,148,147.571428571429,10.56,PharmaB,Capsule,Infection,39,54,Winter,97,3,2,99,2,100,20.4,50,150,1
2025-04-12,101,Paracetamol,North,193,195.571428571429,6.12,PharmaA,Tablet,Flu,35,45,Summer,100,6,2,77,1,100,27.5,71,92,1
2025-04-12,102,Amoxicillin,South,135,146.571428571429,16.3,PharmaB,Capsule,Infection,64,86,Winter,162,7,2,7,1,100,23,81,68,0
2025-04-13,101,Paracetamol,North,220,199.571428571429,7.6,PharmaA,Tablet,Flu,146,47,Winter,215,2,5,91,2,100,19.3,66,98,0
2025-04-13,102,Amoxicillin,South,139,141.714285714286,15.58,PharmaB,Capsule,Infection,107,94,Summer,139,2,1,68,2,100,27.5,71,125,0
2025-04-14,101,Paracetamol,North,220,201.857142857143,13.64,PharmaA,Tablet,Flu,117,97,Summer,455,4,4,3,1,100,32.3,59,165,0
2025-04-14,102,Amoxicillin,South,126,142.285714285714,10.87,PharmaB,Capsule,Infection,84,53,Summer,142,7,5,98,2,100,16.2,55,77,1
2025-04-15,101,Paracetamol,South,192,199.571428571429,12.6,PharmaA,Tablet,Flu,123,96,Summer,111,4,5,7,1,100,28.3,40,148,1
2025-04-15,102,Amoxicillin,North,161,143.285714285714,10.09,PharmaB,Capsule,Infection,105,95,Summer,76,5,4,56,1,100,25,44,67,1
2025-04-16,101,Paracetamol,South,185,197.714285714286,10,PharmaA,Tablet,Flu,190,65,Winter,210,5,3,42,1,100,20.7,50,82,0
2025-04-16,102,Amoxicillin,North,150,142.285714285714,19.1,PharmaB,Capsule,Infection,43,30,Summer,225,5,4,31,1,100,20.5,56,92,1
2025-04-17,101,Paracetamol,South,194,197.142857142857,14.43,PharmaA,Tablet,Flu,151,49,Winter,67,5,2,29,2,100,33.3,81,124,1
2025-04-17,102,Amoxicillin,South,174,147.571428571429,6.69,PharmaB,Capsule,Infection,125,46,Winter,145,6,5,29,2,100,29.1,67,91,1
2025-04-18,101,Paracetamol,South,182,198,11.76,PharmaA,Tablet,Flu,97,60,Summer,159,7,3,33,1,100,26.1,72,158,0
2025-04-18,102,Amoxicillin,South,145,147.142857142857,7.93,PharmaB,Capsule,Infection,65,79,Summer,211,7,5,59,1,100,24.3,51,158,1
2025-04-19,101,Paracetamol,South,203,199.428571428571,11.59,PharmaA,Tablet,Flu,25,64,Winter,252,7,2,63,1,100,22.2,82,97,1
2025-04-19,102,Amoxicillin,South,136,147.285714285714,14.59,PharmaB,Capsule,Infection,73,93,Summer,121,2,1,28,2,100,30.8,53,139,0
2025-04-20,101,Paracetamol,South,180,193.714285714286,19.28,PharmaA,Tablet,Flu,78,96,Summer,301,7,1,97,1,100,18.4,87,114,0
2025-04-20,102,Amoxicillin,South,148,148.571428571429,6.2,PharmaB,Capsule,Infection,47,39,Summer,306,6,1,19,1,100,18.2,82,109,0
2025-04-21,101,Paracetamol,South,208,192,16.94,PharmaA,Tablet,Flu,193,74,Summer,368,6,1,63,1,100,20.9,49,198,0
2025-04-21,102,Amoxicillin,South,160,153.428571428571,16.65,PharmaB,Capsule,Infection,91,84,Summer,133,7,1,22,1,100,26.1,71,74,0
2025-04-22,101,Paracetamol,South,215,195.285714285714,19.81,PharmaA,Tablet,Flu,102,54,Summer,324,4,5,11,1,100,15.3,56,99,0
2025-04-22,102,Amoxicillin,North,157,152.857142857143,6.61,PharmaB,Capsule,Infection,65,59,Summer,445,2,5,82,1,100,19.7,49,78,1
2025-04-23,101,Paracetamol,North,184,195.142857142857,12.14,PharmaA,Tablet,Flu,86,67,Winter,209,2,4,92,2,100,32.4,61,89,1
2025-04-23,102,Amoxicillin,South,137,151,17.77,PharmaB,Capsule,Infection,34,42,Winter,343,5,5,1,2,100,18.9,73,144,0
2025-01-14,101,Paracetamol,North,180,180,20.84,PharmaA,Tablet,Flu,152,36,Winter,319,2,5,47,2,100,22.7,38,170,0
2025-01-14,102,Amoxicillin,South,158,158,23.63,PharmaB,Capsule,Infection,100,88,Summer,198,7,1,48,1,100,20.4,35,81,1
2025-01-14,103,Ibuprofen,South,221,221,22.26,PharmaC,Syrup,Pain,31,70,Winter,451,3,4,70,1,100,33.3,86,114,0
2025-01-14,104,Cetirizine,North,143,143,19.66,PharmaD,Injection,Allergy,141,61,Summer,378,2,1,39,2,100,30.7,80,186,1
2025-01-14,105,Azithromycin,South,166,166,25.22,PharmaE,Tablet,Bacterial Infection,124,54,Winter,56,2,2,30,2,100,32.5,40,125,0
2025-01-15,101,Paracetamol,South,225,202.5,16,PharmaA,Tablet,Flu,177,77,Winter,409,2,4,98,1,100,29.6,45,150,0
2025-01-15,102,Amoxicillin,South,158,158,20.36,PharmaB,Capsule,Infection,179,33,Summer,209,7,3,75,1,100,31,80,193,0
2025-01-15,103,Ibuprofen,North,204,212.5,25.76,PharmaC,Syrup,Pain,152,80,Summer,390,2,3,95,1,100,30.8,82,163,1
2025-01-15,104,Cetirizine,North,144,143.5,10.94,PharmaD,Injection,Allergy,53,35,Summer,333,4,4,23,1,100,17.3,61,100,1
2025-01-15,105,Azithromycin,South,211,188.5,10.38,PharmaE,Tablet,Bacterial Infection,194,99,Winter,427,3,5,98,2,100,22.2,43,103,1
2025-01-16,101,Paracetamol,North,179,194.666666666667,11.63,PharmaA,Tablet,Flu,221,55,Summer,146,3,3,11,2,100,25,84,85,1
2025-01-16,102,Amoxicillin,South,115,143.666666666667,28.12,PharmaB,Capsule,Infection,173,63,Winter,177,6,2,51,1,100,30.7,50,122,0
2025-01-16,103,Ibuprofen,North,200,208.333333333333,29.41,PharmaC,Syrup,Pain,64,74,Summer,172,3,1,64,1,100,18.1,37,134,0
2025-01-16,104,Cetirizine,North,167,151.333333333333,8.73,PharmaD,Injection,Allergy,156,38,Winter,78,7,5,62,1,100,31.2,38,160,1
2025-01-16,105,Azithromycin,South,199,192,7.25,PharmaE,Tablet,Bacterial Infection,131,45,Winter,197,2,1,91,2,100,31.7,34,119,1
2025-01-17,101,Paracetamol,North,203,196.75,21.16,PharmaA,Tablet,Flu,205,72,Summer,487,4,4,42,2,100,16.6,33,130,1
2025-01-17,102,Amoxicillin,South,154,146.25,22.14,PharmaB,Capsule,Infection,189,85,Winter,62,3,5,90,2,100,16.7,89,64,1
2025-01-17,103,Ibuprofen,South,183,202,16.14,PharmaC,Syrup,Pain,223,95,Summer,175,2,1,72,2,100,18,79,115,1
2025-01-17,104,Cetirizine,North,147,150.25,26.62,PharmaD,Injection,Allergy,102,54,Summer,206,3,5,50,1,100,16.1,59,144,0
2025-01-17,105,Azithromycin,South,200,194,15.49,PharmaE,Tablet,Bacterial Infection,71,90,Winter,304,4,1,84,1,100,30.4,80,106,0
2025-01-18,101,Paracetamol,South,201,197.6,6.97,PharmaA,Tablet,Flu,95,48,Winter,345,2,5,42,2,100,27.5,71,106,1
2025-01-18,102,Amoxicillin,North,146,146.2,28.53,PharmaB,Capsule,Infection,209,36,Winter,256,4,3,72,1,100,16.5,77,65,1
2025-01-18,103,Ibuprofen,North,186,198.8,10.82,PharmaC,Syrup,Pain,151,37,Winter,130,4,1,40,1,100,15.9,63,108,1
2025-01-18,104,Cetirizine,North,149,150,27.15,PharmaD,Injection,Allergy,165,59,Summer,455,2,3,79,2,100,17.9,89,69,1
2025-01-18,105,Azithromycin,South,225,200.2,18.16,PharmaE,Tablet,Bacterial Infection,108,57,Summer,352,4,2,72,1,100,33.8,81,77,1
2025-01-19,101,Paracetamol,North,195,197.166666666667,7.96,PharmaA,Tablet,Flu,115,66,Winter,216,5,3,50,2,100,21.8,65,140,1
2025-01-19,102,Amoxicillin,North,159,148.333333333333,26.11,PharmaB,Capsule,Infection,66,66,Summer,442,4,2,52,1,100,21.3,62,190,1
2025-01-19,103,Ibuprofen,South,203,199.5,22.6,PharmaC,Syrup,Pain,244,61,Winter,210,2,2,74,1,100,18,42,108,0
2025-01-19,104,Cetirizine,North,146,149.333333333333,9,PharmaD,Injection,Allergy,71,80,Winter,66,5,1,91,2,100,25.9,55,66,0
2025-01-19,105,Azithromycin,South,197,199.666666666667,15.1,PharmaE,Tablet,Bacterial Infection,224,80,Winter,419,3,4,44,1,100,25.9,83,104,1
2025-01-20,101,Paracetamol,North,244,203.857142857143,8.51,PharmaA,Tablet,Flu,143,90,Summer,59,4,5,46,2,100,28.1,46,53,1
2025-01-20,102,Amoxicillin,North,149,148.428571428571,11.89,PharmaB,Capsule,Infection,51,65,Winter,496,2,1,17,2,100,26.4,82,133,0
2025-01-20,103,Ibuprofen,North,184,197.285714285714,7.94,PharmaC,Syrup,Pain,215,75,Summer,193,6,5,22,1,100,20.3,57,97,0
2025-01-20,104,Cetirizine,South,164,151.428571428571,11.51,PharmaD,Injection,Allergy,155,96,Winter,55,2,3,75,2,100,21.5,68,120,0
2025-01-20,105,Azithromycin,North,214,201.714285714286,19.68,PharmaE,Tablet,Bacterial Infection,226,83,Summer,375,5,3,5,2,100,23.8,54,89,0
2025-01-21,101,Paracetamol,North,219,209.428571428571,13.29,PharmaA,Tablet,Flu,121,76,Summer,138,4,4,84,2,100,16.2,39,167,0
2025-01-21,102,Amoxicillin,South,159,148.571428571429,14.57,PharmaB,Capsule,Infection,177,44,Summer,207,3,4,50,1,100,32.9,71,65,0
2025-01-21,103,Ibuprofen,South,199,194.142857142857,17.01,PharmaC,Syrup,Pain,73,75,Summer,220,3,3,58,1,100,31.7,70,87,1
2025-01-21,104,Cetirizine,South,154,153,20.45,PharmaD,Injection,Allergy,151,73,Summer,245,2,4,77,1,100,29.3,86,156,0
2025-01-21,105,Azithromycin,South,189,205,9.75,PharmaE,Tablet,Bacterial Infection,68,69,Winter,293,2,2,28,2,100,25.1,75,187,0
2025-01-22,101,Paracetamol,North,197,205.428571428571,20.06,PharmaA,Tablet,Flu,133,75,Summer,318,4,4,24,1,100,27.5,69,142,0
2025-01-22,102,Amoxicillin,South,150,147.428571428571,12.75,PharmaB,Capsule,Infection,27,99,Winter,349,3,1,68,1,100,26.1,65,61,1
2025-01-22,103,Ibuprofen,North,212,195.285714285714,8.17,PharmaC,Syrup,Pain,96,91,Winter,403,4,5,91,2,100,18.3,32,118,1
2025-01-22,104,Cetirizine,South,152,154.142857142857,8.97,PharmaD,Injection,Allergy,158,58,Summer,277,7,4,0,1,100,27.8,34,143,1
2025-01-22,105,Azithromycin,North,176,200,27.53,PharmaE,Tablet,Bacterial Infection,175,90,Winter,379,6,5,21,2,100,28.1,54,165,0
2025-01-23,101,Paracetamol,South,234,213.285714285714,23.53,PharmaA,Tablet,Flu,240,35,Winter,430,2,2,81,2,100,17.8,48,79,0
2025-01-23,102,Amoxicillin,North,144,151.571428571429,28.01,PharmaB,Capsule,Infection,220,83,Winter,491,3,4,38,1,100,28.7,74,187,1
2025-01-23,103,Ibuprofen,South,210,196.714285714286,17.66,PharmaC,Syrup,Pain,148,34,Summer,166,2,4,74,1,100,33.2,59,61,0
2025-01-23,104,Cetirizine,North,143,150.714285714286,21.35,PharmaD,Injection,Allergy,92,92,Winter,101,5,5,1,2,100,18.1,33,154,0
2025-01-23,105,Azithromycin,South,183,197.714285714286,6.99,PharmaE,Tablet,Bacterial Infection,147,94,Winter,53,4,4,55,1,100,20.2,59,170,1
2025-01-24,101,Paracetamol,North,213,214.714285714286,8.42,PharmaA,Tablet,Flu,31,52,Summer,321,3,1,79,1,100,17.4,57,50,0
2025-01-24,102,Amoxicillin,South,133,148.571428571429,16.51,PharmaB,Capsule,Infection,20,70,Winter,320,7,4,90,2,100,17.1,59,186,0
2025-01-24,103,Ibuprofen,South,201,199.285714285714,11.92,PharmaC,Syrup,Pain,201,32,Summer,302,5,5,50,1,100,19.3,31,83,0
2025-01-24,104,Cetirizine,North,147,150.714285714286,8.97,PharmaD,Injection,Allergy,28,38,Summer,372,7,4,59,1,100,19.8,48,139,1
2025-01-24,105,Azithromycin,South,225,201.285714285714,19.93,PharmaE,Tablet,Bacterial Infection,123,72,Summer,318,3,3,90,1,100,33.8,57,132,1
2025-01-25,101,Paracetamol,North,220,217.428571428571,19.31,PharmaA,Tablet,Flu,117,81,Summer,383,4,4,85,2,100,17.8,50,60,0
2025-01-25,102,Amoxicillin,South,142,148,19.52,PharmaB,Capsule,Infection,214,71,Summer,91,7,5,78,2,100,32.1,38,70,1
2025-01-25,103,Ibuprofen,North,192,200.142857142857,20.39,PharmaC,Syrup,Pain,216,55,Summer,444,5,1,76,2,100,28.2,73,88,0
2025-01-25,104,Cetirizine,South,159,152.142857142857,5.6,PharmaD,Injection,Allergy,60,74,Winter,146,7,1,76,1,100,18.9,79,66,1
2025-01-25,105,Azithromycin,North,209,199,25.67,PharmaE,Tablet,Bacterial Infection,192,41,Summer,67,7,4,81,2,100,26.4,55,52,0
2025-01-26,101,Paracetamol,South,216,220.428571428571,12.09,PharmaA,Tablet,Flu,189,58,Summer,456,6,1,29,2,100,24.4,39,137,1
2025-01-26,102,Amoxicillin,North,159,148,23.04,PharmaB,Capsule,Infection,67,58,Winter,281,7,3,28,1,100,32.8,82,146,0
